05-01-2020-12:00 earn 640.00
05-01-2020-13:00 food 50.00
05-01-2020-15:00 food 18.00
05-01-2020-19:00 food 200.00
05-01-2020-15:30 food 18.00
05-01-2020-19:30 food 200.00
05-01-2020-13:30 food 50.00
05-01-2020-12:30 earn 640.00
<<<<<<< HEAD
20-01-2020-10:30 home_staff 0.00
05-01-2020-13:30 food 50.00
05-01-2020-16:00 food 18.00
05-01-2020-12:30 earn 640.00
05-01-2020-13:00 earn 640.00
05-01-2020-19:30 food 200.00
05-01-2020-14:00 food 50.00
05-01-2020-15:30 food 18.00
05-01-2020-20:00 food 200.00
20-01-2020-11:00 home_staff 0.00
=======
20-01-2020-10:30 home_staff 45.55
05-01-2020-15:31 food 18.00
05-01-2020-19:31 food 200.00
05-01-2020-15:01 food 18.00
05-01-2020-13:31 food 50.00
05-01-2020-13:01 food 50.00
05-01-2020-12:01 earn 640.00
05-01-2020-19:01 food 200.00
20-01-2020-10:31 home_staff 45.55
05-01-2020-12:31 earn 640.00
>>>>>>> publish
